Masked teacher id, [-1194.1394949557857, 1.532078091598051E-5], 0.0011011164243827087
Spec Ed  Tchr 2 Sev Nds-Affect, [339.75702154028767, -16.269936669439474], 5.398324872452065E-5
Spec Ed  Tchr 2 Sev Nds-Affect - Endorse, [339.75236624706673, -18.105169985384848], 5.2814477755069866E-5
Spec Ed  Tchr 2 Sev Nds-Cognit, [339.7338445308549, -11.727133121459689], 1.5436547319835903E-5
Spec Ed  Tchr 2 Sev Nds-Hearin, [339.73851888993045, -13.47598201677276], 2.318425311043093E-5
Spec Ed  Tchr 3-Profound Nds, [339.7156797854089, 14.117653547923254], 3.607360255286629E-6
Spec Ed  Tchr 3-Profound Nds - Endorse, [339.7156797854089, 14.117653547923254], 3.607360255286629E-6
Spec Ed Spch/Lang Pathgst K-12, [339.72191093173814, -150.7219109317388], 4.283781768310568E-5
SPECIAL EDUCATION, [339.39840067413957, 39.802356901618154], 0.0010952803803065958
Special Education - Endorse, [339.71863000339584, NaN], NaN
Speech/Lang Path 0-21 - Endorse, [339.7436527222527, -84.52306448695754], 1.8316597238732246E-4
Teacher Librarian, [339.7923020617299, -95.06758296060809], 6.062646230891033E-4
Teacher Librarian K-12 - Endorse, [340.0012180852922, -100.47799827104929], 0.0024528179982521436
TECHNICAL ED/COMPUTER TECH, [335.71712586467504, 53.03337901098218], 0.016996731958614952
